"chargeback_id","payment_id","reason","chargeback_amount","currency","chargeback_status","opened_at"
"26","230321","unauthorized","23.71","MXN","won","2026-06-30T02:45:46.3983416+00:00"
"27","179002","duplicate","61.92","USD","won","2026-06-23T02:06:46.3983416+00:00"
"28","144135","service_not_received","29.96","COP","won","2026-07-05T08:10:46.3983416+00:00"
"29","38430","fraud","62.07","COP","open","2026-06-28T17:55:46.3983416+00:00"
"30","129616","duplicate","58.72","COP","won","2026-07-16T03:05:46.3983416+00:00"
"31","137844","unauthorized","43.2","COP","lost","2026-08-01T11:16:46.3983416+00:00"
"32","189532","service_not_received","41.3","COP","open","2026-08-06T10:59:46.3983416+00:00"
"33","151643","fraud","55.11","USD","won","2026-07-06T11:17:46.3983416+00:00"
"34","130436","fraud","117.91","USD","won","2026-06-28T03:09:46.3983416+00:00"
"35","11916","fraud","43.61","MXN","won","2026-07-16T12:18:46.3983416+00:00"
"36","7918","duplicate","13.94","MXN","won","2026-08-06T17:52:46.3983416+00:00"
"37","55167","fraud","25.18","MXN","open","2026-07-27T00:20:46.3983416+00:00"
"38","196794","duplicate","38.38","COP","won","2026-08-10T08:16:46.3983416+00:00"
"39","19795","fraud","108.41","USD","lost","2026-07-04T00:07:46.3983416+00:00"
"40","245345","duplicate","25.18","COP","won","2026-07-11T09:50:46.3983416+00:00"
"41","53292","duplicate","119.58","MXN","lost","2026-08-06T21:30:46.3983416+00:00"
"42","111046","duplicate","103.37","USD","open","2026-07-21T08:17:46.3983416+00:00"
"43","42509","fraud","74.49","MXN","won","2026-07-06T07:42:46.3983416+00:00"
"44","120022","fraud","59.75","COP","open","2026-07-07T12:01:46.3983416+00:00"
"45","26213","unauthorized","72.53","USD","won","2026-06-23T12:17:46.3983416+00:00"
"46","117612","fraud","115.83","MXN","open","2026-07-12T22:39:46.3983416+00:00"
"47","41344","duplicate","116.4","MXN","open","2026-06-22T19:41:46.3983416+00:00"
"48","37089","duplicate","135.23","MXN","lost","2026-08-17T06:25:46.3983416+00:00"
"49","67532","service_not_received","147.32","MXN","open","2026-08-02T03:56:46.3983416+00:00"
"50","835","service_not_received","131.69","MXN","lost","2026-07-01T07:18:46.3983416+00:00"
"51","93719","unauthorized","87.38","COP","lost","2026-07-08T17:00:46.3983416+00:00"
"52","16384","unauthorized","134.11","USD","open","2026-07-18T14:44:46.3983416+00:00"
"53","160859","fraud","41.28","MXN","won","2026-08-02T04:17:46.3983416+00:00"
"54","189608","service_not_received","75.83","MXN","open","2026-07-25T03:50:46.3983416+00:00"
"55","239393","fraud","42.61","COP","won","2026-07-23T20:34:46.3983416+00:00"
"56","143091","unauthorized","56.93","USD","won","2026-07-22T11:41:46.3983416+00:00"
"57","135016","duplicate","119.11","COP","won","2026-06-30T11:05:46.3983416+00:00"
"58","96254","service_not_received","37.71","MXN","open","2026-07-26T13:30:46.3983416+00:00"
"59","117839","service_not_received","16.3","USD","open","2026-08-12T17:56:46.3983416+00:00"
"60","57291","service_not_received","145.82","COP","lost","2026-07-22T04:52:46.3983416+00:00"
"61","95405","fraud","9.47","MXN","won","2026-07-15T22:02:46.3983416+00:00"
"62","205087","fraud","86.42","COP","open","2026-07-26T06:59:46.3983416+00:00"
"63","179330","service_not_received","85.76","COP","won","2026-08-10T11:44:46.3983416+00:00"
"64","123234","service_not_received","108.14","COP","lost","2026-07-26T12:14:46.3983416+00:00"
"65","53970","unauthorized","6.24","USD","won","2026-07-21T15:16:46.3983416+00:00"
"66","197722","unauthorized","32.94","USD","won","2026-08-09T15:20:46.3983416+00:00"
"67","62129","unauthorized","20.38","USD","lost","2026-07-11T18:56:46.3983416+00:00"
"68","204322","service_not_received","23.43","USD","lost","2026-06-28T09:44:46.3983416+00:00"
"69","8156","service_not_received","87.11","USD","won","2026-08-04T20:55:46.3983416+00:00"
"70","167464","service_not_received","12.31","MXN","lost","2026-08-12T18:50:46.3983416+00:00"
"71","138388","unauthorized","100.88","USD","open","2026-06-25T15:35:46.3983416+00:00"
"72","11067","unauthorized","56.2","COP","won","2026-06-21T15:13:46.3983416+00:00"
"73","170997","unauthorized","13.9","COP","won","2026-07-05T06:09:46.3983416+00:00"
"74","246751","unauthorized","86.66","USD","won","2026-07-23T09:27:46.3983416+00:00"
"75","181627","unauthorized","77.44","COP","open","2026-08-07T13:02:46.3983416+00:00"
"76","154764","unauthorized","36.64","MXN","lost","2026-08-16T18:28:46.3983416+00:00"
"77","155342","fraud","114.92","USD","open","2026-06-21T22:22:46.3983416+00:00"
"78","117096","service_not_received","16.12","MXN","won","2026-07-02T16:34:46.3983416+00:00"
"79","128753","service_not_received","10.3","MXN","won","2026-08-14T22:41:46.3983416+00:00"
"80","158199","unauthorized","47.61","MXN","won","2026-07-01T12:13:46.3983416+00:00"
"81","245366","unauthorized","95.59","MXN","lost","2026-08-14T23:24:46.3983416+00:00"
"82","21900","service_not_received","77.93","MXN","open","2026-07-06T21:19:46.3983416+00:00"
"83","247459","service_not_received","19.99","USD","open","2026-07-30T10:36:46.3983416+00:00"
"84","94772","duplicate","86.3","USD","lost","2026-08-13T09:30:46.3983416+00:00"
"85","130461","fraud","68.85","MXN","open","2026-07-17T18:43:46.3983416+00:00"
"86","243436","duplicate","71.6","COP","won","2026-08-08T07:14:46.3983416+00:00"
"87","42663","duplicate","96.22","COP","lost","2026-06-25T17:31:46.3983416+00:00"
"88","165638","fraud","17.9","MXN","won","2026-07-16T13:10:46.3983416+00:00"
"89","108917","unauthorized","8.55","COP","open","2026-08-01T23:42:46.3983416+00:00"
"90","181856","service_not_received","43.97","COP","lost","2026-07-23T16:58:46.3983416+00:00"
"91","230992","service_not_received","140.17","USD","won","2026-07-28T16:31:46.3983416+00:00"
"92","50949","unauthorized","123.02","USD","won","2026-07-20T17:45:46.3983416+00:00"
"93","45251","duplicate","54.95","COP","open","2026-07-28T00:17:46.3983416+00:00"
"94","187330","fraud","31.43","USD","won","2026-08-07T21:56:46.3983416+00:00"
"95","19016","unauthorized","76.38","COP","won","2026-06-27T04:05:46.3983416+00:00"
"96","218228","duplicate","119.19","MXN","won","2026-07-13T15:55:46.3983416+00:00"
"97","182553","unauthorized","85.41","MXN","open","2026-08-03T15:36:46.3983416+00:00"
"98","248739","fraud","73.58","USD","open","2026-06-24T16:09:46.3983416+00:00"
"99","9109","service_not_received","5.41","MXN","lost","2026-08-15T21:51:46.4116276+00:00"
"100","237656","duplicate","128.51","COP","won","2026-08-09T07:02:46.4116276+00:00"
"101","35949","unauthorized","49.79","COP","won","2026-07-29T12:21:46.4116276+00:00"
"102","220086","unauthorized","131.95","MXN","won","2026-08-05T18:13:46.4116276+00:00"
"103","92004","unauthorized","68.56","COP","won","2026-07-21T09:29:46.4116276+00:00"
"104","20805","fraud","71.6","COP","won","2026-08-04T16:20:46.4116276+00:00"
"105","164851","duplicate","28","USD","won","2026-08-03T07:28:46.4116276+00:00"
"106","108721","fraud","100.3","USD","open","2026-08-06T18:25:46.4116276+00:00"
"107","88579","unauthorized","64.58","COP","lost","2026-07-20T03:30:46.4116276+00:00"
"108","170476","service_not_received","102.68","MXN","lost","2026-07-31T06:31:46.4140071+00:00"
"109","235981","fraud","138.02","USD","open","2026-07-09T09:03:46.4140071+00:00"
"110","103520","unauthorized","72.24","MXN","lost","2026-08-08T04:16:46.4140071+00:00"
"111","82772","service_not_received","72.87","MXN","lost","2026-08-08T14:00:46.4140071+00:00"
"112","207413","service_not_received","85.22","COP","won","2026-06-20T21:03:46.4140071+00:00"
"113","200968","fraud","21.73","USD","open","2026-06-27T23:29:46.4140071+00:00"
"114","143766","duplicate","60.23","COP","open","2026-08-13T20:40:46.4140071+00:00"
"115","38369","unauthorized","14.65","USD","lost","2026-06-26T20:24:46.4140071+00:00"
"116","240508","unauthorized","37.6","MXN","open","2026-07-29T03:43:46.4140071+00:00"
"117","240492","duplicate","94.55","COP","open","2026-07-29T01:41:46.4140071+00:00"
"118","12745","unauthorized","140.81","MXN","lost","2026-08-13T12:25:46.4140071+00:00"
"119","167682","fraud","124.6","COP","lost","2026-07-12T09:14:46.4140071+00:00"
"120","52918","duplicate","29.72","MXN","won","2026-08-12T02:56:46.4140071+00:00"
"121","197630","unauthorized","7.53","COP","won","2026-08-18T06:21:46.4140071+00:00"
"122","47227","service_not_received","21.79","USD","lost","2026-08-01T17:18:46.4140071+00:00"
"123","156998","duplicate","133.66","USD","won","2026-07-07T02:49:46.4140071+00:00"
"124","24710","service_not_received","91.68","COP","open","2026-08-14T19:13:46.4140071+00:00"
"125","56944","service_not_received","111.52","COP","open","2026-07-23T09:30:46.4140071+00:00"
"126","165394","fraud","93.51","USD","won","2026-08-07T16:14:46.4140071+00:00"
"127","105517","duplicate","135.3","USD","open","2026-07-20T00:05:46.4140071+00:00"
"128","97666","service_not_received","89.39","COP","won","2026-07-09T02:03:46.4140071+00:00"
"129","188745","fraud","126.92","USD","won","2026-08-15T21:59:46.4140071+00:00"
"130","55949","fraud","61.82","MXN","open","2026-08-04T20:15:46.4140071+00:00"
"131","177993","service_not_received","47.79","COP","open","2026-07-07T23:26:46.4140071+00:00"
"132","4064","service_not_received","75.37","MXN","lost","2026-07-21T10:11:46.4140071+00:00"
"133","101516","duplicate","85.13","USD","won","2026-07-05T06:48:46.4140071+00:00"
"134","140290","service_not_received","138.79","COP","open","2026-08-07T17:00:46.4140071+00:00"
"135","213266","service_not_received","15.02","COP","won","2026-07-03T18:06:46.4140071+00:00"
"136","119235","fraud","35.98","COP","won","2026-07-29T08:25:46.4140071+00:00"
"137","2212","duplicate","18.98","MXN","lost","2026-07-20T02:12:46.4140071+00:00"
"138","71516","unauthorized","48.81","MXN","lost","2026-07-07T01:20:46.4140071+00:00"
"139","172857","duplicate","86.15","USD","won","2026-07-22T02:30:46.4140071+00:00"
"140","139461","duplicate","128.36","USD","won","2026-07-19T21:57:46.4140071+00:00"
"141","100338","fraud","147.64","COP","open","2026-07-29T04:48:46.4140071+00:00"
"142","25125","fraud","72.88","MXN","won","2026-07-21T08:24:46.4140071+00:00"
"143","128147","duplicate","33.39","USD","lost","2026-08-12T08:37:46.4140071+00:00"
"144","209738","duplicate","12.49","USD","won","2026-07-30T05:22:46.4140071+00:00"
"145","40358","fraud","13.28","MXN","lost","2026-06-24T22:50:46.4140071+00:00"
"146","215335","fraud","18.86","USD","open","2026-08-12T12:05:46.4140071+00:00"
"147","49365","fraud","108.35","USD","open","2026-07-18T05:53:46.4140071+00:00"
"148","213195","duplicate","129.24","MXN","open","2026-08-02T23:24:46.4195541+00:00"
"149","171425","service_not_received","47.58","MXN","won","2026-07-08T15:33:46.4195541+00:00"
"150","166903","unauthorized","61.16","MXN","open","2026-08-18T03:27:46.4195541+00:00"
"151","61716","unauthorized","149.48","MXN","won","2026-08-03T04:32:46.4195541+00:00"
"152","164010","unauthorized","111.7","USD","open","2026-08-15T15:34:46.4195541+00:00"
"153","125549","duplicate","94.74","USD","lost","2026-06-30T00:40:46.4195541+00:00"
"154","12348","fraud","74.37","MXN","open","2026-06-29T09:20:46.4195541+00:00"
"155","229846","fraud","63.83","MXN","open","2026-08-11T12:45:46.4195541+00:00"
"156","46265","service_not_received","108.02","MXN","lost","2026-07-04T02:34:46.4195541+00:00"
"157","209794","unauthorized","16.17","COP","won","2026-08-06T18:45:46.4195541+00:00"
"158","79590","service_not_received","79.49","MXN","lost","2026-08-16T04:21:46.4195541+00:00"
"159","129767","unauthorized","57.23","COP","won","2026-07-08T08:48:46.4195541+00:00"
"160","52685","fraud","25.82","USD","open","2026-08-19T03:52:46.4195541+00:00"
"161","141040","unauthorized","91.46","MXN","lost","2026-07-16T05:26:46.4195541+00:00"
"162","64871","unauthorized","7.27","COP","won","2026-07-13T02:02:46.4195541+00:00"
"163","42009","unauthorized","23.53","USD","won","2026-07-11T18:01:46.4195541+00:00"
"164","124137","service_not_received","73.97","USD","open","2026-07-07T08:51:46.4195541+00:00"
"165","244477","fraud","143.44","COP","won","2026-08-10T15:13:46.4195541+00:00"
"166","120687","service_not_received","99.57","COP","lost","2026-07-17T22:33:46.4195541+00:00"
"167","149890","fraud","5.39","USD","lost","2026-07-21T18:14:46.4215654+00:00"
"168","238000","duplicate","127.13","USD","open","2026-08-06T00:37:46.4215654+00:00"
"169","174293","service_not_received","120.82","MXN","won","2026-07-08T00:09:46.4215654+00:00"
"170","218556","fraud","88.9","COP","lost","2026-08-04T04:11:46.4215654+00:00"
"171","245539","unauthorized","91.32","USD","lost","2026-08-15T05:39:46.4215654+00:00"
"172","81383","fraud","144.79","USD","open","2026-06-20T19:54:46.4215654+00:00"
"173","244996","fraud","146.79","COP","lost","2026-07-30T17:15:46.4215654+00:00"
"174","86662","unauthorized","54.56","COP","lost","2026-08-10T17:28:46.4215654+00:00"
"175","243457","unauthorized","15.99","USD","won","2026-07-12T19:32:46.4215654+00:00"
"176","69102","duplicate","16.68","MXN","lost","2026-07-09T23:15:46.4215654+00:00"
"177","81267","duplicate","117.4","COP","open","2026-07-20T10:30:46.4215654+00:00"
"178","231200","service_not_received","105.84","COP","lost","2026-07-06T00:58:46.4215654+00:00"
"179","20124","duplicate","10.62","MXN","lost","2026-07-12T01:48:46.4215654+00:00"
"180","66948","duplicate","105.45","MXN","open","2026-07-31T11:28:46.4215654+00:00"
"181","71265","duplicate","59.59","MXN","won","2026-08-15T05:41:46.4215654+00:00"
"182","159250","duplicate","47.99","COP","lost","2026-08-11T18:37:46.4215654+00:00"
"183","163869","unauthorized","84.34","MXN","won","2026-08-03T15:28:46.4215654+00:00"
"184","176405","duplicate","93.49","COP","lost","2026-07-02T06:33:46.4215654+00:00"
"185","128800","fraud","68.28","USD","won","2026-08-14T21:09:46.4215654+00:00"
"186","212015","service_not_received","120.96","MXN","won","2026-07-09T06:00:46.4215654+00:00"
"187","118623","fraud","119.56","MXN","lost","2026-07-07T15:08:46.4235739+00:00"
"188","109295","service_not_received","128.87","COP","won","2026-07-20T00:19:46.4235739+00:00"
"189","3539","service_not_received","67.15","COP","lost","2026-07-15T11:34:46.4235739+00:00"
"190","18998","service_not_received","94.15","USD","won","2026-07-18T08:08:46.4235739+00:00"
"191","244543","duplicate","69.47","COP","open","2026-08-15T20:21:46.4235739+00:00"
"192","232725","duplicate","129.39","COP","open","2026-06-27T02:49:46.4235739+00:00"
"193","228070","unauthorized","71.97","MXN","open","2026-07-19T04:16:46.4235739+00:00"
"194","236686","fraud","44.97","USD","open","2026-08-18T02:15:46.4235739+00:00"
"195","82009","unauthorized","146.02","COP","open","2026-06-19T19:12:46.4235739+00:00"
"196","215593","service_not_received","148.33","USD","lost","2026-07-18T07:57:46.4235739+00:00"
"197","244595","duplicate","24.61","MXN","open","2026-07-06T21:42:46.4235739+00:00"
"198","246451","service_not_received","109.55","COP","lost","2026-07-13T23:15:46.4235739+00:00"
"199","216456","unauthorized","54.17","MXN","lost","2026-07-17T08:14:46.4235739+00:00"
"200","27962","service_not_received","118.29","MXN","won","2026-08-07T12:45:46.4235739+00:00"
"201","208088","fraud","42.86","COP","lost","2026-08-16T19:33:46.4235739+00:00"
"202","10370","service_not_received","6.9","MXN","open","2026-08-17T11:53:46.4235739+00:00"
"203","229859","fraud","62.39","COP","open","2026-06-21T08:44:46.4235739+00:00"
"204","243666","fraud","63","MXN","lost","2026-08-09T17:23:46.4235739+00:00"
"205","101022","duplicate","145.05","COP","open","2026-06-27T15:20:46.4235739+00:00"
"206","26076","service_not_received","55.61","MXN","won","2026-07-02T01:05:46.4255824+00:00"
"207","81176","service_not_received","106.81","MXN","lost","2026-07-28T10:18:46.4255824+00:00"
"208","189442","unauthorized","129.05","COP","won","2026-08-01T23:17:46.4255824+00:00"
"209","144771","fraud","18.42","COP","open","2026-07-21T18:07:46.4255824+00:00"
"210","17497","service_not_received","103.36","MXN","won","2026-06-23T18:59:46.4255824+00:00"
"211","139522","duplicate","39.46","MXN","won","2026-07-20T17:08:46.4255824+00:00"
"212","19766","fraud","143.28","MXN","open","2026-07-30T11:20:46.4255824+00:00"
"213","9783","duplicate","121.84","USD","lost","2026-07-07T16:18:46.4255824+00:00"
"214","141879","service_not_received","59.36","USD","lost","2026-07-04T10:20:46.4255824+00:00"
"215","240499","service_not_received","22.45","USD","open","2026-08-03T06:04:46.4255824+00:00"
"216","69608","fraud","133.3","COP","won","2026-07-23T15:25:46.4255824+00:00"
"217","96111","unauthorized","67.12","USD","open","2026-07-16T04:17:46.4255824+00:00"
"218","86140","duplicate","128.84","COP","open","2026-07-07T07:50:46.4255824+00:00"
"219","223706","fraud","81.55","MXN","open","2026-06-26T21:23:46.4255824+00:00"
"220","11969","service_not_received","8.94","MXN","lost","2026-08-18T08:03:46.4255824+00:00"
"221","158808","service_not_received","129.79","COP","open","2026-08-15T22:46:46.4255824+00:00"
"222","50155","duplicate","144.58","MXN","won","2026-07-12T16:36:46.4255824+00:00"
"223","180615","service_not_received","15.09","MXN","lost","2026-07-09T03:39:46.4255824+00:00"
"224","19199","service_not_received","21.69","MXN","won","2026-06-30T14:50:46.4255824+00:00"
"225","9046","service_not_received","28.98","MXN","lost","2026-07-19T16:19:46.4255824+00:00"
"226","102515","fraud","25.76","COP","lost","2026-08-12T07:44:46.4255824+00:00"
"227","183839","duplicate","138.4","USD","lost","2026-06-22T11:12:46.4255824+00:00"
"228","30127","duplicate","115.39","COP","lost","2026-07-31T19:47:46.4273326+00:00"
"229","47689","service_not_received","96","COP","won","2026-07-19T22:56:46.4273326+00:00"
"230","143008","fraud","147.34","COP","won","2026-07-16T01:12:46.4273326+00:00"
"231","71166","service_not_received","102.23","USD","lost","2026-06-30T08:04:46.4273326+00:00"
"232","136917","fraud","56.03","MXN","lost","2026-07-30T19:03:46.4273326+00:00"
"233","73237","unauthorized","116.86","USD","won","2026-07-07T16:56:46.4281468+00:00"
"234","188480","service_not_received","102.13","COP","lost","2026-07-26T05:36:46.4281468+00:00"
"235","191096","unauthorized","61.94","USD","won","2026-07-04T05:47:46.4281468+00:00"
"236","68948","service_not_received","22.75","USD","open","2026-08-07T04:54:46.4281468+00:00"
"237","83671","unauthorized","76.53","COP","lost","2026-07-31T04:34:46.4281468+00:00"
"238","178766","duplicate","52.49","USD","open","2026-07-11T14:01:46.4281468+00:00"
"239","197597","unauthorized","111.6","COP","lost","2026-07-11T04:38:46.4281468+00:00"
"240","80560","duplicate","149.71","COP","won","2026-07-06T14:37:46.4281468+00:00"
"241","53463","duplicate","61.31","USD","lost","2026-07-09T21:43:46.4281468+00:00"
"242","81376","unauthorized","83.13","USD","won","2026-08-05T10:32:46.4281468+00:00"
"243","107542","unauthorized","70.96","MXN","won","2026-07-17T07:28:46.4281468+00:00"
"244","102135","unauthorized","68.53","MXN","open","2026-07-18T15:10:46.4281468+00:00"
"245","91805","unauthorized","5.29","COP","open","2026-08-18T11:02:46.4281468+00:00"
"246","3019","duplicate","93.96","USD","open","2026-08-03T14:04:46.4281468+00:00"
"247","45074","duplicate","79.5","MXN","open","2026-07-07T14:29:46.4281468+00:00"
"248","19022","service_not_received","104.26","COP","open","2026-07-27T12:22:46.4281468+00:00"
"249","198286","service_not_received","124.84","MXN","open","2026-07-21T06:45:46.4281468+00:00"
"250","187010","duplicate","56.25","USD","lost","2026-08-06T02:02:46.4281468+00:00"
"251","217699","duplicate","34.73","COP","open","2026-07-24T22:30:46.4303051+00:00"
"252","178635","duplicate","100.98","MXN","won","2026-08-01T18:32:46.4303051+00:00"
"253","39431","unauthorized","51.84","MXN","won","2026-07-23T19:28:46.4303051+00:00"
"254","246928","fraud","127.88","COP","won","2026-06-26T22:18:46.4303051+00:00"
"255","27104","service_not_received","16.11","COP","open","2026-08-08T21:47:46.4303051+00:00"
"256","208912","fraud","141.01","COP","lost","2026-07-01T14:42:46.4303051+00:00"
"257","103170","service_not_received","9.34","USD","lost","2026-08-16T23:44:46.4303051+00:00"
"258","126347","service_not_received","144.97","COP","won","2026-07-04T08:20:46.4303051+00:00"
"259","148716","unauthorized","70.26","COP","open","2026-08-17T05:11:46.4303051+00:00"
"260","9844","unauthorized","108.99","USD","won","2026-06-22T18:59:46.4303051+00:00"
"261","7501","duplicate","82.76","MXN","lost","2026-07-11T17:05:46.4303051+00:00"
"262","216693","service_not_received","57.42","COP","open","2026-06-27T21:05:46.4303051+00:00"
"263","216281","fraud","49.69","USD","won","2026-08-02T09:47:46.4303051+00:00"
"264","74736","fraud","15.66","COP","open","2026-07-25T17:36:46.4303051+00:00"
"265","157466","unauthorized","132.96","USD","open","2026-07-08T16:11:46.4323255+00:00"
"266","211588","duplicate","138.08","MXN","lost","2026-07-03T21:59:46.4323255+00:00"
"267","34953","service_not_received","65.26","MXN","won","2026-06-27T20:25:46.4323255+00:00"
"268","31731","fraud","51.91","COP","won","2026-08-18T21:42:46.4323255+00:00"
"269","179787","unauthorized","12.17","MXN","lost","2026-07-12T19:58:46.4323255+00:00"
"270","30825","duplicate","29.42","COP","won","2026-07-07T23:37:46.4323255+00:00"
"271","69622","unauthorized","122.49","COP","lost","2026-07-17T17:23:46.4323255+00:00"
"272","249401","fraud","13.56","USD","won","2026-08-09T05:19:46.4323255+00:00"
"273","155368","duplicate","127.06","COP","lost","2026-07-29T11:38:46.4323255+00:00"
"274","202226","fraud","44.81","USD","lost","2026-07-01T07:44:46.4323255+00:00"
"275","120209","unauthorized","81.04","MXN","open","2026-08-14T04:58:46.4323255+00:00"
"276","219682","duplicate","65.41","COP","won","2026-07-02T20:13:46.4323255+00:00"
"277","230028","duplicate","58.79","COP","lost","2026-06-30T19:14:46.4323255+00:00"
"278","177892","duplicate","129.85","COP","open","2026-07-12T14:58:46.4323255+00:00"
"279","193197","service_not_received","89.37","MXN","won","2026-07-04T00:37:46.4323255+00:00"
"280","245000","service_not_received","5.29","MXN","lost","2026-07-28T18:08:46.4323255+00:00"
"281","100867","duplicate","59.91","MXN","won","2026-07-23T02:29:46.4323255+00:00"
"282","235050","service_not_received","141.21","COP","open","2026-07-06T17:54:46.4323255+00:00"
"283","52236","fraud","15.05","COP","open","2026-08-04T10:00:46.4323255+00:00"
"284","173337","unauthorized","140.83","USD","lost","2026-07-24T16:48:46.4323255+00:00"
"285","83644","unauthorized","56.29","COP","open","2026-07-06T21:50:46.4344073+00:00"
"286","12557","unauthorized","97.45","USD","lost","2026-07-06T08:54:46.4344073+00:00"
"287","179382","service_not_received","36.05","COP","open","2026-08-17T20:00:46.4344073+00:00"
"288","9891","fraud","102.06","MXN","won","2026-07-27T19:38:46.4344073+00:00"
"289","154617","service_not_received","88.09","MXN","won","2026-08-19T15:40:46.4344073+00:00"
"290","117758","service_not_received","133.18","USD","won","2026-08-05T08:12:46.4344073+00:00"
"291","130756","service_not_received","75.2","USD","open","2026-08-03T13:51:46.4344073+00:00"
"292","247637","fraud","133.4","USD","open","2026-08-09T20:29:46.4344073+00:00"
"293","8939","fraud","67.93","USD","open","2026-06-24T18:27:46.4344073+00:00"
"294","184477","service_not_received","40.14","MXN","open","2026-07-17T03:21:46.4344073+00:00"
"295","225292","service_not_received","16.32","COP","lost","2026-07-01T08:49:46.4344073+00:00"
"296","121905","duplicate","63.76","USD","open","2026-06-20T05:50:46.4344073+00:00"
"297","235987","fraud","41.52","MXN","lost","2026-08-14T20:33:46.4354189+00:00"
"298","193998","unauthorized","51.2","MXN","open","2026-07-16T11:43:46.4354189+00:00"
"299","164587","fraud","22.14","MXN","open","2026-06-21T21:56:46.4354189+00:00"
"300","197742","fraud","116.02","COP","won","2026-07-06T01:25:46.4354189+00:00"
"301","64564","unauthorized","89.79","COP","open","2026-08-16T16:20:46.4354189+00:00"
"302","225267","duplicate","14.45","USD","won","2026-06-29T08:14:46.4354189+00:00"
"303","21923","unauthorized","78.32","USD","lost","2026-08-12T10:11:46.4354189+00:00"
"304","106718","fraud","107.63","COP","open","2026-06-25T14:07:46.4354189+00:00"
"305","48081","service_not_received","38.05","USD","lost","2026-08-05T12:33:46.4354189+00:00"
"306","21541","duplicate","67.86","MXN","lost","2026-07-09T22:12:46.4354189+00:00"
"307","191193","unauthorized","122.26","MXN","open","2026-07-16T19:01:46.4354189+00:00"
"308","170909","service_not_received","77.81","USD","won","2026-08-02T03:10:46.4354189+00:00"
"309","93734","fraud","138.86","COP","won","2026-08-05T17:19:46.4354189+00:00"
"310","205826","unauthorized","143.34","MXN","lost","2026-07-12T14:24:46.4354189+00:00"
"311","76373","unauthorized","143.28","MXN","open","2026-07-16T20:31:46.4354189+00:00"
"312","173643","fraud","65.75","MXN","lost","2026-06-27T09:21:46.4354189+00:00"
"313","191165","duplicate","38.32","COP","lost","2026-07-02T07:37:46.4354189+00:00"
"314","220184","unauthorized","109.76","MXN","won","2026-08-02T06:07:46.4354189+00:00"
"315","130730","service_not_received","144.53","MXN","open","2026-08-15T18:20:46.4354189+00:00"
"316","52715","duplicate","38.44","MXN","lost","2026-07-15T13:13:46.4354189+00:00"
"317","152454","fraud","123.69","USD","won","2026-08-07T15:39:46.4354189+00:00"
"318","101667","duplicate","90.36","USD","lost","2026-07-22T14:45:46.4374339+00:00"
"319","161601","duplicate","127.68","COP","lost","2026-07-08T04:27:46.4374339+00:00"
"320","137440","duplicate","101.29","MXN","won","2026-06-29T22:52:46.4374339+00:00"
"321","216088","unauthorized","110.68","MXN","won","2026-08-07T00:51:46.4374339+00:00"
"322","181758","duplicate","30.43","COP","won","2026-07-03T16:25:46.4374339+00:00"
"323","53855","unauthorized","131.07","MXN","lost","2026-08-13T15:15:46.4374339+00:00"
"324","166482","fraud","106.22","USD","won","2026-07-16T17:35:46.4374339+00:00"
