"settlement_id","payment_id","processor","gross_amount","processor_fee","net_amount","currency","settlement_status","settled_at"
"34","87749","adyen","27.54","0.65","26.89","USD","pending","2026-08-14T00:58:43.4671039+00:00"
"35","160467","adyen","99.61","3.71","95.9","MXN","settled","2026-08-06T11:22:43.4671039+00:00"
"36","138597","adyen","82.94","2.77","80.17","MXN","pending","2026-07-29T10:51:43.4671039+00:00"
"37","135102","stripe","122.88","4.16","118.72","MXN","pending","2026-08-05T16:39:43.4671039+00:00"
"38","214858","adyen","11","0.31","10.69","USD","settled","2026-08-07T15:12:43.4671039+00:00"
"39","115323","paypal","49.8","1.48","48.32","MXN","settled","2026-08-13T20:42:43.4671039+00:00"
"40","226795","stripe","141.25","4.24","137.01","COP","pending","2026-07-31T00:19:43.4671039+00:00"
"41","126263","stripe","52.07","1.11","50.96","COP","settled","2026-07-22T03:00:43.4671039+00:00"
"42","94298","stripe","24.46","0.67","23.79","USD","settled","2026-08-19T10:15:43.4671039+00:00"
"43","206782","adyen","124.74","3.49","121.25","USD","pending","2026-08-11T03:06:43.4671039+00:00"
"44","263","adyen","99.4","2.18","97.22","COP","settled","2026-07-27T18:29:43.4671039+00:00"
"45","222455","paypal","56.07","1.57","54.5","COP","pending","2026-07-20T20:30:43.4671039+00:00"
"46","22308","paypal","120.67","4.67","116","USD","settled","2026-07-20T20:21:43.4671039+00:00"
"47","110966","stripe","136.49","3.26","133.23","COP","settled","2026-08-01T17:14:43.4671039+00:00"
"48","14968","paypal","127.79","3.44","124.35","MXN","settled","2026-07-20T12:17:43.4671039+00:00"
"49","128094","adyen","145.42","3","142.42","MXN","settled","2026-08-15T11:25:43.4671039+00:00"
"50","28907","adyen","27.21","0.8","26.41","MXN","pending","2026-07-28T09:10:43.4671039+00:00"
"51","120369","stripe","94.75","2.9","91.85","USD","pending","2026-07-21T18:12:43.4671039+00:00"
"52","78797","paypal","39.68","1.12","38.56","COP","settled","2026-07-25T05:19:43.4671039+00:00"
"53","195852","paypal","134.02","3.35","130.67","USD","settled","2026-07-31T04:24:43.4671039+00:00"
"54","113448","adyen","103.25","2.65","100.6","USD","settled","2026-08-16T04:39:43.4671039+00:00"
"55","87890","stripe","72.93","2.46","70.47","MXN","pending","2026-08-08T20:12:43.4671039+00:00"
"56","84614","adyen","46.31","1.19","45.12","MXN","settled","2026-08-14T17:46:43.4671039+00:00"
"57","186094","paypal","92.49","2.73","89.76","MXN","pending","2026-08-16T04:57:43.4671039+00:00"
"58","170424","stripe","142.47","3.13","139.34","COP","settled","2026-08-03T04:10:43.4671039+00:00"
"59","38227","adyen","96.28","2.43","93.85","MXN","settled","2026-07-30T09:59:43.4671039+00:00"
"60","121087","stripe","11.42","0.26","11.16","USD","settled","2026-07-28T07:16:43.4671039+00:00"
"61","8812","paypal","68.99","1.43","67.56","USD","settled","2026-08-01T23:18:43.4671039+00:00"
"62","215292","paypal","11.35","0.35","11","COP","settled","2026-08-15T16:52:43.4671039+00:00"
"63","30902","stripe","44.05","0.95","43.1","USD","settled","2026-07-30T00:44:43.4671039+00:00"
"64","20054","paypal","78.82","2.72","76.1","MXN","settled","2026-08-04T04:07:43.4671039+00:00"
"65","236770","stripe","47.28","1.5","45.78","COP","pending","2026-08-04T20:56:43.4671039+00:00"
"66","152817","stripe","89.31","2.1","87.21","USD","settled","2026-07-22T02:04:43.4671039+00:00"
"67","203070","paypal","133.23","3.18","130.05","USD","settled","2026-07-28T05:00:43.4671039+00:00"
"68","35726","stripe","146.55","4.33","142.22","MXN","settled","2026-08-18T11:28:43.4671039+00:00"
"69","177473","stripe","7.2","0.2","7","COP","settled","2026-07-22T16:07:43.4671039+00:00"
"70","63025","adyen","9.77","0.29","9.48","COP","pending","2026-08-10T23:32:43.4671039+00:00"
"71","210826","stripe","14.21","0.31","13.9","MXN","settled","2026-07-29T08:20:43.4671039+00:00"
"72","188760","paypal","63.59","1.48","62.11","USD","pending","2026-08-03T11:34:43.4671039+00:00"
"73","182606","paypal","90.13","2.15","87.98","COP","settled","2026-08-08T04:42:43.4671039+00:00"
"74","175308","adyen","99.9","2.01","97.89","COP","settled","2026-07-28T12:03:43.4671039+00:00"
"75","154710","paypal","83.05","2.71","80.34","MXN","settled","2026-07-31T11:31:43.4671039+00:00"
"76","219958","adyen","68.29","1.4","66.89","COP","pending","2026-08-08T04:04:43.4671039+00:00"
"77","107122","paypal","19.44","0.43","19.01","COP","pending","2026-07-20T16:30:43.4671039+00:00"
"78","203941","adyen","40.13","1.17","38.96","USD","pending","2026-07-26T17:29:43.4671039+00:00"
"79","239093","paypal","117.89","2.48","115.41","USD","pending","2026-08-03T05:07:43.4671039+00:00"
"80","107836","stripe","21","0.72","20.28","USD","settled","2026-07-30T09:04:43.4671039+00:00"
"81","2684","paypal","108.6","3.77","104.83","COP","settled","2026-07-27T20:14:43.4671039+00:00"
"82","43995","stripe","70.93","1.93","69","COP","settled","2026-08-17T05:24:43.4671039+00:00"
"83","8784","stripe","93.12","3.69","89.43","MXN","settled","2026-07-23T03:17:43.4671039+00:00"
"84","240009","stripe","87.41","1.93","85.48","COP","pending","2026-07-27T22:57:43.4671039+00:00"
"85","233116","adyen","38.92","1.39","37.53","USD","settled","2026-07-24T08:07:43.4671039+00:00"
"86","169306","paypal","36","0.92","35.08","USD","settled","2026-07-30T01:27:43.4671039+00:00"
"87","29367","adyen","106.4","2.88","103.52","COP","settled","2026-07-29T22:55:43.4671039+00:00"
"88","205367","adyen","24.53","0.83","23.7","MXN","settled","2026-07-25T12:58:43.4796451+00:00"
"89","242362","paypal","81.42","2.44","78.98","MXN","pending","2026-08-11T11:51:43.4796451+00:00"
"90","150926","adyen","47.09","1.33","45.76","MXN","settled","2026-08-18T02:07:43.4796451+00:00"
"91","213054","stripe","78.66","2.18","76.48","COP","settled","2026-08-17T14:56:43.4796451+00:00"
"92","88204","stripe","17.21","0.59","16.62","COP","pending","2026-08-03T00:04:43.4796451+00:00"
"93","51430","adyen","69.82","1.75","68.07","USD","settled","2026-08-14T14:42:43.4796451+00:00"
"94","206903","adyen","68.19","2.4","65.79","MXN","pending","2026-08-17T16:30:43.4796451+00:00"
"95","200146","stripe","100.59","3.39","97.2","MXN","settled","2026-07-26T18:03:43.4796451+00:00"
"96","150824","adyen","65.5","1.9","63.6","COP","settled","2026-08-17T20:01:43.4796451+00:00"
"97","198113","paypal","77.28","2.1","75.18","USD","pending","2026-07-23T10:33:43.4796451+00:00"
"98","118177","paypal","124.64","3.88","120.76","USD","pending","2026-08-08T23:07:43.4796451+00:00"
"99","101589","paypal","15.12","0.56","14.56","MXN","settled","2026-08-03T02:31:43.4796451+00:00"
"100","2402","stripe","64.53","2.04","62.49","MXN","settled","2026-07-27T09:41:43.4796451+00:00"
"101","72781","paypal","15.19","0.46","14.73","USD","settled","2026-07-26T09:04:43.4796451+00:00"
"102","139054","adyen","122.35","3.12","119.23","USD","settled","2026-07-30T00:22:43.4796451+00:00"
"103","75081","stripe","141.29","5.4","135.89","USD","settled","2026-08-14T18:20:43.4796451+00:00"
"104","6125","paypal","62.48","1.7","60.78","USD","pending","2026-08-08T14:30:43.4796451+00:00"
"105","131284","adyen","77.97","2.86","75.11","USD","settled","2026-08-15T16:25:43.4796451+00:00"
"106","92633","adyen","66.25","1.77","64.48","MXN","pending","2026-07-23T04:51:43.4829501+00:00"
"107","141744","paypal","27.4","1.03","26.37","COP","settled","2026-08-02T21:16:43.4829501+00:00"
"108","184365","adyen","102.39","3.65","98.74","USD","settled","2026-08-05T14:00:43.4829501+00:00"
"109","238357","adyen","122.92","4.62","118.3","USD","settled","2026-07-23T21:41:43.4829501+00:00"
"110","123372","adyen","86","3.38","82.62","USD","settled","2026-07-31T20:16:43.4829501+00:00"
"111","195137","adyen","92.67","3.22","89.45","COP","settled","2026-08-07T06:51:43.4829501+00:00"
"112","241714","stripe","148.49","3.62","144.87","USD","settled","2026-07-29T17:30:43.4829501+00:00"
"113","107690","paypal","142.36","3.25","139.11","USD","settled","2026-07-23T15:57:43.4829501+00:00"
"114","233014","stripe","31.4","1.05","30.35","COP","settled","2026-08-15T23:39:43.4829501+00:00"
"115","104389","adyen","71.89","2.67","69.22","USD","settled","2026-07-22T19:23:43.4849626+00:00"
"116","62512","adyen","30.37","0.94","29.43","COP","settled","2026-07-22T12:17:43.4849626+00:00"
"117","189025","paypal","19.4","0.59","18.81","MXN","pending","2026-08-17T04:57:43.4849626+00:00"
"118","161347","paypal","113.09","2.69","110.4","USD","settled","2026-07-26T10:41:43.4849626+00:00"
"119","199843","adyen","127.2","4.38","122.82","COP","settled","2026-08-13T01:18:43.4849626+00:00"
"120","165436","adyen","45.01","1.15","43.86","USD","settled","2026-08-03T07:35:43.4849626+00:00"
"121","247677","paypal","103.71","3.82","99.89","MXN","pending","2026-08-07T11:02:43.4849626+00:00"
"122","146468","stripe","65.47","2.59","62.88","COP","settled","2026-08-01T13:51:43.4849626+00:00"
"123","36971","stripe","39.47","1.03","38.44","MXN","pending","2026-08-17T05:58:43.4849626+00:00"
"124","231782","adyen","12.21","0.35","11.86","USD","pending","2026-07-26T20:36:43.4869705+00:00"
"125","156084","paypal","131.27","3.51","127.76","USD","settled","2026-08-17T00:57:43.4869705+00:00"
"126","220533","adyen","70.3","1.99","68.31","COP","settled","2026-08-09T08:02:43.4869705+00:00"
"127","67643","paypal","102.2","2.39","99.81","COP","settled","2026-08-02T04:58:43.4869705+00:00"
"128","174316","stripe","11.14","0.25","10.89","MXN","settled","2026-08-15T16:55:43.4869705+00:00"
"129","242854","paypal","32.45","0.74","31.71","USD","pending","2026-07-26T11:11:43.4869705+00:00"
"130","193137","stripe","51.22","1.09","50.13","USD","pending","2026-07-29T05:02:43.4869705+00:00"
"131","96493","stripe","117.5","2.37","115.13","MXN","settled","2026-08-08T06:34:43.4869705+00:00"
"132","26548","adyen","112.09","2.24","109.85","MXN","settled","2026-07-20T07:59:43.4869705+00:00"
"133","247076","stripe","80.29","2.29","78","USD","settled","2026-08-15T20:59:43.4869705+00:00"
"134","32785","stripe","73.33","2.69","70.64","MXN","pending","2026-07-21T22:57:43.4869705+00:00"
"135","57279","adyen","109.25","3.95","105.3","MXN","pending","2026-08-10T23:43:43.4889783+00:00"
"136","242577","stripe","65.62","2.4","63.22","USD","pending","2026-07-26T22:11:43.4889783+00:00"
"137","176694","stripe","18.71","0.64","18.07","USD","settled","2026-08-06T10:15:43.4889783+00:00"
"138","189426","stripe","143.28","3.73","139.55","MXN","pending","2026-07-25T22:31:43.4889783+00:00"
"139","92846","adyen","71.31","1.61","69.7","USD","settled","2026-08-12T12:46:43.4889783+00:00"
"140","86557","paypal","16.34","0.4","15.94","MXN","settled","2026-07-20T10:31:43.4889783+00:00"
"141","122708","stripe","135.42","4.28","131.14","USD","settled","2026-07-21T03:26:43.4889783+00:00"
"142","35939","stripe","139.85","5.57","134.28","USD","settled","2026-08-14T06:54:43.4889783+00:00"
"143","210372","adyen","26.22","0.57","25.65","USD","pending","2026-08-14T14:00:43.4889783+00:00"
"144","173496","adyen","114.9","3.61","111.29","USD","settled","2026-08-16T08:19:43.4889783+00:00"
"145","16808","paypal","25.36","0.69","24.67","MXN","settled","2026-07-30T13:57:43.4909868+00:00"
"146","99098","paypal","45.68","1.67","44.01","COP","pending","2026-08-05T13:05:43.4909868+00:00"
"147","138018","adyen","27.4","0.99","26.41","USD","settled","2026-08-19T09:24:43.4909868+00:00"
"148","39559","paypal","86.28","3.24","83.04","COP","pending","2026-07-29T13:54:43.4909868+00:00"
"149","225116","adyen","131.22","4.05","127.17","COP","settled","2026-07-25T20:21:43.4909868+00:00"
"150","81494","adyen","149.86","5.84","144.02","USD","pending","2026-08-15T03:00:43.4909868+00:00"
"151","9199","adyen","74.61","1.64","72.97","COP","settled","2026-07-28T04:38:43.4909868+00:00"
"152","83985","paypal","94.13","2.52","91.61","USD","settled","2026-07-28T02:53:43.4909868+00:00"
"153","132363","paypal","143.58","4.22","139.36","COP","settled","2026-08-12T23:54:43.4909868+00:00"
"154","204394","paypal","88.37","2.54","85.83","MXN","settled","2026-07-26T00:31:43.4909868+00:00"
"155","39232","stripe","84.52","3.22","81.3","COP","settled","2026-08-05T05:59:43.4909868+00:00"
"156","116876","stripe","68.88","2.73","66.15","COP","settled","2026-07-31T01:32:43.4909868+00:00"
"157","171741","paypal","39.94","1.34","38.6","USD","settled","2026-08-16T18:14:43.4909868+00:00"
"158","23553","paypal","57.57","2.27","55.3","USD","settled","2026-08-18T03:09:43.4909868+00:00"
"159","92695","stripe","51.97","1.12","50.85","USD","settled","2026-08-16T22:55:43.4909868+00:00"
"160","70489","paypal","85.93","2.96","82.97","MXN","settled","2026-07-27T13:45:43.4909868+00:00"
"161","242407","adyen","48.99","1.37","47.62","USD","pending","2026-08-11T07:05:43.4909868+00:00"
"162","52851","adyen","76.75","2.06","74.69","USD","settled","2026-08-02T09:53:43.4909868+00:00"
"163","133906","stripe","64.55","2.48","62.07","COP","settled","2026-08-17T21:49:43.4943780+00:00"
"164","49104","paypal","38.14","0.78","37.36","USD","settled","2026-07-20T14:53:43.4943780+00:00"
"165","152754","stripe","113.68","2.71","110.97","USD","pending","2026-08-10T19:55:43.4943780+00:00"
"166","224875","adyen","102.56","2.76","99.8","USD","settled","2026-07-27T10:28:43.4943780+00:00"
"167","119458","paypal","100.83","3.06","97.77","MXN","settled","2026-07-31T15:00:43.4943780+00:00"
"168","15953","adyen","46.26","1.18","45.08","MXN","settled","2026-08-18T17:39:43.4963906+00:00"
"169","22456","paypal","66.31","1.87","64.44","USD","pending","2026-08-14T13:02:43.4963906+00:00"
"170","509","paypal","114.63","4.41","110.22","USD","settled","2026-08-10T04:45:43.4963906+00:00"
"171","188147","paypal","96.5","2.26","94.24","MXN","pending","2026-07-26T10:35:43.4963906+00:00"
"172","241684","stripe","86.41","1.79","84.62","MXN","settled","2026-08-01T23:22:43.4963906+00:00"
"173","69470","adyen","75.78","2.48","73.3","COP","settled","2026-08-13T01:50:43.4963906+00:00"
"174","58009","stripe","24.44","0.55","23.89","USD","settled","2026-07-28T09:50:43.4963906+00:00"
"175","83761","adyen","39.61","1.53","38.08","USD","pending","2026-08-08T10:34:43.4963906+00:00"
"176","20527","adyen","120.19","3.19","117","MXN","settled","2026-08-13T16:09:43.4963906+00:00"
"177","195203","paypal","29.19","1.07","28.12","MXN","pending","2026-08-01T03:04:43.4963906+00:00"
"178","113477","paypal","106.96","3.29","103.67","MXN","settled","2026-08-18T10:44:43.4963906+00:00"
"179","214774","paypal","119.66","3.06","116.6","USD","settled","2026-07-24T12:20:43.4963906+00:00"
"180","248815","adyen","101.31","3.61","97.7","USD","pending","2026-08-14T18:04:43.4963906+00:00"
"181","122212","stripe","91.04","2.93","88.11","COP","settled","2026-07-27T18:39:43.4963906+00:00"
"182","11437","stripe","32.12","0.84","31.28","MXN","settled","2026-08-17T07:55:43.4963906+00:00"
"183","182528","stripe","143.27","5.56","137.71","COP","settled","2026-08-18T01:17:43.4963906+00:00"
"184","75206","adyen","126","4.17","121.83","COP","settled","2026-08-17T02:30:43.4990298+00:00"
"185","205327","adyen","120.56","4.59","115.97","USD","settled","2026-08-16T20:12:43.4990298+00:00"
"186","129344","paypal","126.46","2.87","123.59","MXN","settled","2026-07-28T06:10:43.4990298+00:00"
"187","37812","stripe","41.04","1.39","39.65","USD","settled","2026-07-26T06:05:43.4990298+00:00"
"188","213010","paypal","76.66","2.19","74.47","USD","pending","2026-08-05T10:36:43.4990298+00:00"
"189","85625","adyen","22.22","0.82","21.4","USD","settled","2026-08-03T03:23:43.4990298+00:00"
"190","187133","paypal","95.26","2.44","92.82","COP","settled","2026-08-01T17:52:43.4990298+00:00"
"191","237980","adyen","106.6","3.79","102.81","COP","settled","2026-08-12T10:51:43.4990298+00:00"
"192","131602","stripe","114.34","4.02","110.32","USD","settled","2026-08-16T06:52:43.4990298+00:00"
"193","34547","adyen","81.87","1.78","80.09","MXN","settled","2026-08-04T15:22:43.4990298+00:00"
"194","197447","stripe","133.16","4.48","128.68","USD","settled","2026-07-29T03:37:43.4990298+00:00"
"195","195445","stripe","109.63","2.83","106.8","MXN","pending","2026-07-26T15:23:43.4990298+00:00"
"196","2358","paypal","91.66","2.56","89.1","COP","settled","2026-08-17T05:46:43.4990298+00:00"
"197","52692","stripe","55.03","1.23","53.8","USD","pending","2026-07-23T04:49:43.4990298+00:00"
"198","156111","adyen","71.09","2.2","68.89","MXN","settled","2026-07-27T07:29:43.4990298+00:00"
"199","248748","stripe","145.91","3.38","142.53","COP","settled","2026-07-28T03:43:43.4990298+00:00"
"200","100233","stripe","123.21","2.57","120.64","USD","pending","2026-07-27T05:00:43.4990298+00:00"
"201","107132","adyen","76.53","2.47","74.06","USD","pending","2026-08-01T12:36:43.4990298+00:00"
"202","56041","paypal","63.83","1.44","62.39","USD","settled","2026-07-28T14:43:43.4990298+00:00"
"203","59737","adyen","12.67","0.39","12.28","MXN","settled","2026-08-08T04:31:43.4990298+00:00"
"204","75349","paypal","56.39","1.64","54.75","COP","pending","2026-08-02T07:18:43.4990298+00:00"
"205","15028","stripe","77.12","2.6","74.52","MXN","settled","2026-08-19T05:03:43.4990298+00:00"
"206","76864","adyen","109.98","3.53","106.45","MXN","pending","2026-08-09T03:44:43.4990298+00:00"
"207","158627","stripe","133.63","5.14","128.49","USD","pending","2026-08-11T09:21:43.4990298+00:00"
"208","24612","stripe","71.84","2.24","69.6","USD","pending","2026-07-30T23:35:43.4990298+00:00"
"209","189860","paypal","149.44","4.43","145.01","MXN","settled","2026-08-04T14:24:43.4990298+00:00"
"210","9980","adyen","114.16","4.16","110","MXN","settled","2026-08-01T17:43:43.4990298+00:00"
"211","232468","paypal","11.22","0.3","10.92","COP","settled","2026-07-23T18:08:43.4990298+00:00"
"212","135207","paypal","30.17","0.97","29.2","COP","pending","2026-08-09T02:38:43.4990298+00:00"
"213","234452","paypal","117.13","3.2","113.93","MXN","settled","2026-08-18T10:38:43.4990298+00:00"
"214","246191","stripe","87.39","1.81","85.58","MXN","settled","2026-08-05T22:31:43.4990298+00:00"
"215","55515","stripe","131.41","2.69","128.72","USD","settled","2026-08-17T17:17:43.4990298+00:00"
"216","36784","paypal","50.62","1.87","48.75","USD","pending","2026-07-26T01:00:43.4990298+00:00"
"217","20056","stripe","17.22","0.52","16.7","COP","settled","2026-07-26T19:48:43.4990298+00:00"
"218","249314","adyen","49.73","1.61","48.12","USD","settled","2026-08-13T12:27:43.4990298+00:00"
"219","124522","paypal","112.73","3.99","108.74","COP","settled","2026-08-12T18:15:43.4990298+00:00"
"220","171377","stripe","7.94","0.22","7.72","MXN","pending","2026-08-19T07:32:43.4990298+00:00"
"221","27388","stripe","144.11","2.96","141.15","MXN","settled","2026-08-12T14:31:43.4990298+00:00"
"222","64681","adyen","109.28","2.23","107.05","COP","settled","2026-08-15T08:16:43.4990298+00:00"
"223","97088","paypal","50.18","1.29","48.89","USD","pending","2026-07-25T14:18:43.4990298+00:00"
"224","242255","paypal","122.35","4.6","117.75","MXN","pending","2026-08-02T14:00:43.4990298+00:00"
"225","169866","adyen","36.02","0.94","35.08","MXN","pending","2026-07-21T16:59:43.4990298+00:00"
"226","224053","stripe","9.75","0.25","9.5","USD","settled","2026-08-19T01:07:43.4990298+00:00"
"227","86277","stripe","26.22","1","25.22","MXN","settled","2026-08-11T09:55:43.4990298+00:00"
"228","192086","stripe","86.34","2.28","84.06","USD","settled","2026-07-23T05:04:43.4990298+00:00"
"229","148315","adyen","114.44","4.09","110.35","USD","settled","2026-07-26T18:07:43.4990298+00:00"
"230","143015","paypal","98","3.45","94.55","COP","pending","2026-07-22T10:11:43.4990298+00:00"
"231","62789","paypal","92.29","3.24","89.05","MXN","settled","2026-08-03T12:46:43.4990298+00:00"
"232","214533","adyen","123.76","4.82","118.94","MXN","settled","2026-08-19T05:16:43.4990298+00:00"
"233","63188","paypal","123.35","2.7","120.65","USD","settled","2026-08-08T22:32:43.4990298+00:00"
"234","118861","adyen","6.22","0.23","5.99","USD","pending","2026-07-30T00:18:43.4990298+00:00"
"235","84829","adyen","101","2.84","98.16","USD","pending","2026-07-28T19:03:43.4990298+00:00"
"236","22610","stripe","138.62","3.34","135.28","COP","settled","2026-07-23T00:45:43.4990298+00:00"
"237","218059","stripe","66.13","1.72","64.41","MXN","settled","2026-07-31T16:01:43.4990298+00:00"
"238","128127","stripe","48.84","1.61","47.23","COP","pending","2026-07-27T23:23:43.4990298+00:00"
"239","119787","stripe","108.89","3.93","104.96","USD","settled","2026-08-06T10:22:43.4990298+00:00"
"240","106967","adyen","48.25","1.23","47.02","COP","settled","2026-08-04T21:56:43.4990298+00:00"
"241","140470","paypal","22.24","0.47","21.77","COP","pending","2026-07-27T11:33:43.4990298+00:00"
"242","115639","adyen","6.61","0.26","6.35","MXN","settled","2026-08-05T06:13:43.4990298+00:00"
"243","150224","paypal","104.4","2.67","101.73","COP","settled","2026-07-24T11:25:43.4990298+00:00"
"244","214598","stripe","131.48","4.27","127.21","MXN","settled","2026-08-02T12:35:43.4990298+00:00"
"245","175296","paypal","108.38","3.9","104.48","MXN","pending","2026-07-25T16:55:43.4990298+00:00"
"246","214470","stripe","7.58","0.28","7.3","USD","settled","2026-07-31T20:03:43.4990298+00:00"
"247","235007","paypal","99.75","2.64","97.11","COP","settled","2026-08-11T18:51:43.5054899+00:00"
"248","246861","paypal","54.11","1.51","52.6","COP","settled","2026-08-04T21:28:43.5054899+00:00"
"249","34400","stripe","116.53","2.96","113.57","USD","pending","2026-08-15T16:59:43.5054899+00:00"
"250","223936","adyen","95.58","3.27","92.31","MXN","pending","2026-08-16T00:39:43.5054899+00:00"
"251","61718","stripe","148","5.31","142.69","MXN","settled","2026-07-29T21:32:43.5054899+00:00"
"252","209992","adyen","23.31","0.55","22.76","COP","settled","2026-08-01T06:04:43.5054899+00:00"
"253","207855","adyen","96.28","2.93","93.35","MXN","pending","2026-08-02T07:52:43.5054899+00:00"
"254","147907","adyen","97.8","3.52","94.28","MXN","settled","2026-07-26T10:22:43.5054899+00:00"
"255","222756","paypal","15.24","0.36","14.88","MXN","settled","2026-08-13T09:18:43.5054899+00:00"
"256","246792","stripe","53.82","2.01","51.81","COP","settled","2026-07-30T10:09:43.5054899+00:00"
"257","247128","paypal","114.84","3.19","111.65","MXN","settled","2026-08-13T15:01:43.5054899+00:00"
"258","205329","paypal","34.37","1.03","33.34","COP","settled","2026-07-31T23:47:43.5054899+00:00"
"259","231289","stripe","13.46","0.53","12.93","USD","settled","2026-08-18T02:10:43.5054899+00:00"
"260","106552","paypal","43.56","1.64","41.92","COP","settled","2026-08-13T21:41:43.5054899+00:00"
"261","100551","paypal","8.26","0.26","8","MXN","settled","2026-08-14T07:05:43.5054899+00:00"
"262","93120","stripe","5.03","0.16","4.87","COP","settled","2026-07-28T22:57:43.5054899+00:00"
"263","5404","stripe","122.33","3.62","118.71","COP","pending","2026-08-10T21:21:43.5054899+00:00"
"264","66348","stripe","20.41","0.5","19.91","COP","pending","2026-08-17T11:29:43.5054899+00:00"
"265","204115","adyen","8.96","0.27","8.69","COP","pending","2026-08-11T23:35:43.5054899+00:00"
"266","110450","paypal","19.08","0.59","18.49","USD","settled","2026-08-15T11:11:43.5054899+00:00"
"267","247502","adyen","53.35","1.3","52.05","MXN","pending","2026-07-26T17:53:43.5075006+00:00"
"268","211387","adyen","41.14","0.99","40.15","USD","settled","2026-08-07T18:27:43.5075006+00:00"
"269","178325","adyen","92.84","3.38","89.46","COP","settled","2026-08-07T20:28:43.5075006+00:00"
"270","68707","paypal","68.42","1.5","66.92","COP","settled","2026-08-19T14:18:43.5075006+00:00"
"271","115329","paypal","32.6","0.91","31.69","MXN","settled","2026-08-01T06:43:43.5075006+00:00"
"272","91963","paypal","132.52","4.86","127.66","MXN","settled","2026-08-03T05:36:43.5075006+00:00"
"273","39189","stripe","63.2","1.91","61.29","USD","pending","2026-08-17T04:40:43.5075006+00:00"
"274","45916","adyen","128.24","3.3","124.94","MXN","settled","2026-07-28T17:27:43.5075006+00:00"
"275","77621","paypal","5.12","0.2","4.92","COP","settled","2026-07-29T16:12:43.5075006+00:00"
"276","212806","paypal","45.78","1.82","43.96","MXN","settled","2026-08-16T19:29:43.5075006+00:00"
"277","87132","adyen","57.32","2.21","55.11","MXN","settled","2026-08-02T05:37:43.5075006+00:00"
